progress_id,userId,courseId,progressStatus,last_updated,modulesCompleted,certificateProof
46,9,9,in_progress,2024-10-07 08:44:05.000,26,
47,9,9,in_progress,2024-10-07 08:55:31.000,28,
48,9,66,in_progress,2024-08-09 04:26:41.000,13,
49,9,66,completed,2024-09-11 01:43:44.000,15,http://rose.biz/
50,10,380,in_progress,2024-10-02 09:14:01.000,1,
51,10,380,in_progress,2024-10-06 17:37:40.000,6,
52,10,380,completed,2024-10-06 22:19:55.000,8,http://hale.org/
53,10,1,in_progress,2024-09-22 10:15:25.000,2,
54,10,1,in_progress,2024-10-02 01:09:49.000,3,
55,10,1,in_progress,2024-10-05 16:59:44.000,5,
56,10,1,completed,2024-10-06 18:48:18.000,6,http://mckinney-brooks.com/
57,11,256,in_progress,2024-02-07 22:55:19.000,3,
58,11,256,in_progress,2024-07-14 20:19:08.000,23,
59,11,256,completed,2024-07-20 19:56:10.000,25,https://www.knox.com/
60,11,282,in_progress,2024-07-27 23:22:47.000,2,
61,11,282,in_progress,2024-10-05 15:28:16.000,6,
62,11,282,in_progress,2024-10-06 17:17:41.000,9,
63,11,282,in_progress,2024-10-06 18:08:13.000,10,
64,11,282,completed,2024-10-07 01:40:07.000,13,http://www.wang.info/
65,11,362,in_progress,2024-01-24 03:54:34.000,10,
66,11,362,completed,2024-07-14 01:47:43.000,11,http://www.hahn.com/
67,12,9,in_progress,2024-09-28 09:05:23.000,16,
68,12,9,in_progress,2024-10-02 20:55:41.000,24,
69,12,9,in_progress,2024-10-03 23:25:15.000,26,
70,12,9,in_progress,2024-10-06 02:32:35.000,28,
71,12,9,in_progress,2024-10-06 02:44:19.000,29,
72,12,197,in_progress,2024-07-27 01:21:38.000,6,
73,12,197,in_progress,2024-10-02 07:33:20.000,8,
74,12,197,completed,2024-10-06 04:51:00.000,9,https://www.watts.com/
75,12,236,in_progress,2024-08-16 12:47:26.000,3,
76,12,236,in_progress,2024-09-06 23:11:35.000,5,
77,12,236,in_progress,2024-09-13 19:06:37.000,21,
78,12,236,in_progress,2024-09-17 12:05:18.000,26,
79,12,236,in_progress,2024-09-23 12:22:41.000,27,
80,14,255,in_progress,2024-01-08 08:28:05.000,13,
81,14,255,in_progress,2024-03-30 19:45:27.000,14,
82,14,255,completed,2024-09-17 04:33:50.000,17,http://gill.biz/
83,14,378,in_progress,2023-09-01 16:16:46.000,13,
84,14,378,in_progress,2024-02-19 21:29:57.000,15,
85,14,378,completed,2024-05-21 12:43:42.000,16,http://www.knapp.net/
86,14,316,completed,2024-01-26 22:11:11.000,6,https://www.lee.biz/
87,15,282,in_progress,2024-05-16 15:59:00.000,7,
88,15,282,in_progress,2024-06-19 13:31:49.000,11,
89,15,282,in_progress,2024-08-11 00:44:46.000,12,
90,15,282,completed,2024-09-13 12:58:21.000,13,http://long-berry.info/
91,16,168,in_progress,2024-05-21 22:18:10.000,6,
92,16,168,in_progress,2024-08-15 22:26:33.000,15,
93,16,168,in_progress,2024-09-23 07:42:51.000,16,
94,16,168,completed,2024-10-01 18:42:17.000,17,https://ray.info/
95,16,228,in_progress,2024-09-15 05:27:06.000,8,
96,16,228,in_progress,2024-09-17 10:47:08.000,11,
97,16,228,in_progress,2024-10-07 01:15:48.000,15,
98,16,228,in_progress,2024-10-07 03:25:49.000,16,
99,16,228,in_progress,2024-10-07 06:24:09.000,19,
100,16,178,in_progress,2024-02-28 10:54:43.000,5,
101,16,178,in_progress,2024-08-09 15:19:16.000,14,
102,16,178,in_progress,2024-09-30 07:41:45.000,15,
103,16,178,completed,2024-10-05 15:27:44.000,17,https://www.gomez-davis.com/
104,17,75,in_progress,2024-03-29 04:56:14.000,20,
105,17,75,in_progress,2024-08-08 05:50:00.000,26,
106,17,75,in_progress,2024-09-19 03:42:36.000,27,
107,17,75,completed,2024-09-23 01:03:16.000,28,http://anderson.biz/
108,17,121,in_progress,2024-09-06 14:31:54.000,3,
109,17,121,in_progress,2024-09-08 03:16:37.000,4,
110,17,121,in_progress,2024-10-06 02:59:15.000,10,
111,17,121,completed,2024-10-06 07:40:40.000,11,http://murray-castillo.net/
112,17,65,in_progress,2024-05-19 03:51:14.000,5,
113,17,65,completed,2024-06-22 04:39:27.000,6,http://gregory.com/
114,20,97,in_progress,2023-08-15 22:10:39.000,8,
115,20,97,in_progress,2024-06-07 11:02:34.000,9,
116,20,97,completed,2024-07-04 20:33:03.000,15,http://thompson.org/
117,20,309,in_progress,2024-07-10 10:43:17.000,1,
118,20,309,in_progress,2024-09-14 18:39:57.000,2,
119,20,309,in_progress,2024-09-26 15:50:52.000,7,
120,20,309,in_progress,2024-10-05 21:29:40.000,10,
121,20,309,completed,2024-10-05 22:10:23.000,11,https://www.lane-white.biz/
122,22,285,in_progress,2024-03-02 04:04:45.000,1,
123,22,285,in_progress,2024-06-06 15:50:48.000,3,
124,22,285,completed,2024-06-26 14:43:40.000,5,https://lewis-harvey.com/
125,22,49,in_progress,2023-10-16 23:43:26.000,27,
126,22,49,in_progress,2023-12-15 20:20:08.000,29,
127,22,49,completed,2024-06-14 00:23:49.000,30,https://harrison-shelton.net/
128,22,39,in_progress,2024-08-25 07:42:32.000,3,
129,22,39,completed,2024-09-23 18:36:23.000,18,https://williams.com/
130,23,373,in_progress,2024-09-21 11:18:52.000,0,
131,23,373,completed,2024-10-07 04:44:49.000,15,https://www.spears.org/
132,25,232,in_progress,2024-08-31 07:41:21.000,0,
133,25,232,in_progress,2024-09-03 00:57:51.000,1,
134,25,232,in_progress,2024-09-16 13:00:49.000,2,
135,25,232,in_progress,2024-09-22 14:32:08.000,23,
136,25,232,completed,2024-09-29 13:04:19.000,24,http://wyatt-nelson.biz/
137,25,349,in_progress,2024-05-22 02:26:57.000,2,
138,25,349,in_progress,2024-09-03 09:08:42.000,3,
139,25,349,in_progress,2024-10-01 16:01:09.000,4,
140,25,349,completed,2024-10-06 15:35:02.000,5,https://www.robles-richards.org/
141,26,148,in_progress,2023-12-28 09:35:39.000,13,
142,26,148,in_progress,2023-12-31 09:15:04.000,19,
143,26,148,in_progress,2024-06-05 10:03:27.000,20,
144,26,148,completed,2024-09-02 15:16:12.000,21,https://www.gonzalez.info/
145,27,142,in_progress,2024-09-17 04:52:40.000,12,
146,27,142,in_progress,2024-10-04 18:22:03.000,20,
147,27,142,in_progress,2024-10-04 23:49:43.000,21,
148,27,142,completed,2024-10-06 05:58:24.000,23,https://west.com/
149,29,145,in_progress,2024-08-15 03:07:07.000,17,
150,29,145,in_progress,2024-09-25 21:56:23.000,19,
151,29,145,completed,2024-10-06 03:35:49.000,20,http://www.jordan.com/
152,30,366,in_progress,2024-07-03 05:25:58.000,8,
153,30,366,in_progress,2024-07-05 18:17:50.000,10,
154,30,366,in_progress,2024-09-02 08:19:04.000,13,
155,30,366,in_progress,2024-09-21 11:06:24.000,14,
156,30,366,in_progress,2024-09-26 01:06:52.000,15,
157,30,130,in_progress,2024-06-04 15:18:50.000,3,
158,30,130,in_progress,2024-08-26 06:25:02.000,7,
159,30,130,in_progress,2024-09-25 07:00:01.000,8,
160,30,130,completed,2024-10-01 04:16:06.000,11,http://www.alexander-burton.org/
161,30,259,in_progress,2023-04-14 21:23:18.000,5,
162,30,259,in_progress,2024-07-25 07:04:28.000,8,
163,30,259,in_progress,2024-08-22 04:28:49.000,9,
164,30,259,completed,2024-09-27 22:12:56.000,10,https://collins.com/
165,31,288,in_progress,2024-08-14 15:22:38.000,16,
166,31,288,in_progress,2024-09-19 09:15:03.000,20,
167,31,288,completed,2024-10-03 17:48:06.000,21,https://www.adams.info/
168,31,158,completed,2024-06-27 01:02:19.000,8,http://www.martinez.com/
169,32,99,in_progress,2024-05-23 20:20:39.000,5,
170,32,99,in_progress,2024-07-31 16:13:14.000,6,
171,32,99,in_progress,2024-08-20 10:41:48.000,8,
172,32,99,in_progress,2024-09-06 03:11:15.000,9,
173,32,99,completed,2024-10-06 18:21:22.000,10,http://www.young.org/
174,32,159,in_progress,2024-09-22 13:55:05.000,2,
175,32,159,in_progress,2024-09-29 13:17:25.000,3,
176,32,159,in_progress,2024-10-02 15:40:56.000,6,
177,32,159,in_progress,2024-10-06 20:25:10.000,7,
178,32,159,completed,2024-10-07 02:31:02.000,9,https://perez.com/
179,32,205,in_progress,2024-06-18 22:07:49.000,11,
180,32,205,in_progress,2024-09-30 16:11:05.000,12,
181,32,205,in_progress,2024-10-02 22:49:17.000,23,
182,32,205,completed,2024-10-05 23:14:21.000,26,https://williams.org/
183,33,46,in_progress,2024-09-22 18:19:29.000,6,
184,33,46,in_progress,2024-09-26 15:27:52.000,7,
185,33,46,in_progress,2024-10-05 16:13:26.000,8,
186,33,46,in_progress,2024-10-06 21:36:54.000,9,
187,33,46,in_progress,2024-10-07 02:43:57.000,10,
188,34,379,in_progress,2023-09-21 06:46:19.000,1,
189,34,379,in_progress,2024-03-02 06:50:40.000,9,
190,34,379,in_progress,2024-08-25 02:32:11.000,16,
191,34,379,completed,2024-08-26 19:19:13.000,17,https://thompson.info/
192,34,233,in_progress,2024-09-09 13:18:30.000,15,
193,34,233,in_progress,2024-09-22 14:52:32.000,18,
194,34,233,completed,2024-10-06 02:04:46.000,19,http://www.cummings.com/
195,35,334,in_progress,2023-03-28 02:03:43.000,1,
196,35,334,in_progress,2023-07-17 22:46:55.000,2,
197,35,334,in_progress,2024-08-02 19:39:45.000,5,
198,35,334,in_progress,2024-09-04 23:15:20.000,6,
199,35,334,completed,2024-09-23 13:47:27.000,8,http://www.perez.biz/
200,35,22,in_progress,2024-07-12 02:17:26.000,4,
201,35,22,in_progress,2024-07-22 20:21:45.000,5,
202,35,22,completed,2024-07-26 21:01:43.000,9,https://jones.com/
203,35,287,in_progress,2023-07-29 15:00:18.000,2,
204,35,287,in_progress,2024-07-23 03:39:22.000,5,
205,35,287,completed,2024-09-21 13:51:21.000,6,https://howell-thompson.com/
206,38,4,in_progress,2023-09-13 12:45:26.000,16,
207,38,4,completed,2023-10-13 00:21:48.000,30,http://www.brown.com/
208,38,384,completed,2023-07-25 16:44:54.000,9,http://www.hunt-phillips.com/
209,39,26,in_progress,2024-07-07 03:56:46.000,6,
210,39,26,in_progress,2024-08-09 13:43:16.000,12,
211,39,26,completed,2024-08-26 15:17:17.000,13,http://rowe-lopez.biz/
212,39,192,in_progress,2024-07-16 12:59:38.000,2,
213,39,192,in_progress,2024-07-20 04:42:39.000,9,
214,39,192,in_progress,2024-07-21 19:12:26.000,11,
215,39,192,completed,2024-08-07 11:52:01.000,13,https://roberts.net/
216,39,193,in_progress,2024-09-13 08:44:00.000,11,
217,39,193,in_progress,2024-10-01 06:25:20.000,13,
218,39,193,in_progress,2024-10-06 17:59:28.000,18,
219,39,193,completed,2024-10-06 17:59:54.000,20,http://clements-harris.com/
220,40,108,in_progress,2024-08-18 17:31:01.000,2,
221,40,108,in_progress,2024-09-25 04:37:48.000,4,
222,40,108,in_progress,2024-10-05 19:57:09.000,14,
223,40,108,in_progress,2024-10-05 21:34:50.000,21,
224,40,108,in_progress,2024-10-06 06:54:28.000,23,
225,40,291,in_progress,2024-07-22 01:27:51.000,0,
226,40,291,in_progress,2024-08-06 14:02:01.000,10,
227,40,291,in_progress,2024-09-12 23:14:07.000,12,
228,40,291,completed,2024-09-13 23:08:48.000,14,http://www.lopez.com/
229,40,304,completed,2024-10-02 21:38:56.000,9,http://www.adkins.com/
230,41,7,in_progress,2024-09-18 02:32:20.000,2,
231,41,7,in_progress,2024-09-27 15:22:57.000,6,
232,41,7,in_progress,2024-09-29 02:56:28.000,13,
233,41,7,in_progress,2024-10-06 04:33:45.000,15,
234,41,7,in_progress,2024-10-06 13:20:41.000,21,
235,41,37,in_progress,2024-09-14 21:13:06.000,13,
236,41,37,in_progress,2024-09-18 18:30:29.000,15,
237,41,37,in_progress,2024-09-23 21:17:38.000,20,
238,41,37,completed,2024-10-02 19:18:35.000,24,http://mitchell.com/
239,42,350,in_progress,2024-09-02 14:13:16.000,6,
240,42,350,in_progress,2024-09-16 07:07:45.000,7,
241,42,350,completed,2024-09-16 15:32:27.000,8,https://wallace-rodriguez.net/
242,42,48,in_progress,2024-09-20 13:26:19.000,1,
243,42,48,in_progress,2024-09-30 21:30:01.000,4,
244,42,48,completed,2024-10-03 00:49:36.000,7,https://www.baker.biz/
245,45,216,in_progress,2024-08-30 14:49:28.000,3,
246,45,216,completed,2024-09-18 23:23:29.000,7,https://www.burns.info/
247,47,321,in_progress,2024-08-27 23:42:38.000,3,
248,47,321,in_progress,2024-09-20 22:35:35.000,12,
249,47,321,in_progress,2024-10-05 22:20:48.000,18,
250,47,321,completed,2024-10-06 09:16:59.000,20,https://osborne-hill.biz/
251,47,70,in_progress,2024-08-21 22:23:45.000,16,
252,47,70,completed,2024-08-30 05:05:27.000,17,https://www.murphy-hill.com/
253,48,286,completed,2024-06-19 06:04:41.000,9,http://www.townsend-allen.com/
254,49,161,in_progress,2024-01-21 22:55:40.000,2,
255,49,161,in_progress,2024-08-08 07:53:44.000,6,
256,49,161,in_progress,2024-08-11 22:07:43.000,7,
257,49,161,in_progress,2024-09-11 13:51:49.000,8,
258,49,161,in_progress,2024-09-18 05:22:40.000,15,
259,50,90,in_progress,2024-09-08 07:50:31.000,23,
260,50,90,in_progress,2024-10-06 19:02:45.000,28,
261,50,90,completed,2024-10-07 00:55:33.000,29,https://rhodes.com/
262,50,16,in_progress,2024-10-05 11:25:34.000,16,
263,50,16,completed,2024-10-07 04:36:05.000,17,https://ramos.com/
264,51,245,in_progress,2024-08-17 23:08:06.000,1,
265,51,245,in_progress,2024-09-12 19:12:13.000,2,
266,51,245,in_progress,2024-09-22 16:42:56.000,3,
267,51,245,completed,2024-10-04 06:26:11.000,9,https://duke.com/
268,52,156,in_progress,2024-03-23 22:27:44.000,0,
269,52,156,in_progress,2024-05-23 23:41:19.000,1,
270,52,156,in_progress,2024-06-02 18:24:22.000,2,
271,52,156,in_progress,2024-06-23 04:10:46.000,5,
272,52,156,completed,2024-08-06 11:08:26.000,6,https://www.brown-stephens.net/
273,52,400,in_progress,2024-06-15 13:46:34.000,7,
274,52,400,in_progress,2024-09-07 08:41:42.000,25,
275,52,400,in_progress,2024-09-16 11:19:05.000,27,
276,52,400,completed,2024-10-02 18:02:37.000,30,http://www.gonzalez.com/
277,52,65,in_progress,2024-08-13 23:57:59.000,1,
278,52,65,in_progress,2024-08-28 07:13:37.000,5,
279,52,65,completed,2024-10-03 00:29:06.000,6,https://www.koch-rodgers.org/
280,53,386,in_progress,2024-10-04 16:44:00.000,6,
281,53,386,in_progress,2024-10-05 01:39:11.000,8,
282,53,386,completed,2024-10-06 19:11:35.000,9,https://www.lopez.com/
283,54,328,in_progress,2024-09-24 02:01:57.000,6,
284,54,328,in_progress,2024-10-01 20:44:56.000,16,
285,54,328,completed,2024-10-02 16:19:20.000,17,https://griffin.biz/
286,56,326,in_progress,2024-08-03 00:25:26.000,1,
287,56,326,in_progress,2024-09-09 02:24:39.000,3,
288,56,326,in_progress,2024-09-28 15:57:57.000,5,
289,56,326,in_progress,2024-10-05 17:10:40.000,6,
290,56,326,completed,2024-10-06 13:47:29.000,7,https://thornton.info/
291,56,190,in_progress,2024-07-28 13:16:56.000,13,
292,56,190,in_progress,2024-08-27 00:47:29.000,15,
293,56,190,in_progress,2024-08-28 18:23:56.000,20,
294,56,190,in_progress,2024-08-31 00:37:45.000,21,
295,56,190,completed,2024-09-26 19:28:59.000,22,http://byrd.com/
296,57,44,in_progress,2024-09-15 08:41:01.000,2,
297,57,44,completed,2024-09-16 10:37:30.000,5,http://www.kline.com/
298,57,87,in_progress,2024-09-17 06:30:35.000,12,
299,57,87,completed,2024-09-23 05:45:59.000,20,https://haynes.biz/
300,57,309,in_progress,2024-10-01 13:11:15.000,3,
301,57,309,completed,2024-10-04 18:10:47.000,11,https://johnson-hernandez.com/
302,60,170,in_progress,2023-06-02 19:14:57.000,9,
303,60,170,in_progress,2024-03-08 18:43:44.000,20,
304,60,170,in_progress,2024-03-23 17:11:27.000,21,
305,60,170,completed,2024-05-20 20:08:54.000,28,https://carlson-marks.com/
306,60,115,in_progress,2024-09-05 22:53:45.000,4,
307,60,115,in_progress,2024-10-01 22:03:37.000,8,
308,60,115,in_progress,2024-10-05 08:19:47.000,10,
309,60,115,completed,2024-10-06 12:14:26.000,26,http://www.boyd.org/
310,61,36,in_progress,2024-09-01 21:20:15.000,0,
311,61,36,in_progress,2024-10-03 19:06:09.000,2,
312,61,36,in_progress,2024-10-05 06:11:23.000,3,
313,61,36,in_progress,2024-10-06 15:44:46.000,4,
314,61,36,completed,2024-10-06 23:23:30.000,7,http://www.west-browning.org/
315,62,339,in_progress,2024-06-22 00:44:07.000,9,
316,62,339,in_progress,2024-07-11 17:45:36.000,14,
317,62,339,in_progress,2024-07-24 16:58:16.000,24,
318,62,339,completed,2024-08-21 01:55:28.000,25,https://frost.biz/
319,63,292,in_progress,2024-08-17 01:26:47.000,9,
320,63,292,in_progress,2024-09-01 23:06:35.000,10,
321,63,292,completed,2024-09-03 00:48:21.000,11,https://www.woods.info/
322,63,134,in_progress,2024-09-27 00:25:56.000,10,
323,63,134,in_progress,2024-10-07 06:46:05.000,23,
324,63,134,in_progress,2024-10-07 08:55:48.000,25,
325,63,134,in_progress,2024-10-07 08:55:58.000,28,
326,63,134,completed,2024-10-07 08:57:38.000,29,http://www.evans.com/
327,63,256,in_progress,2024-08-17 14:46:51.000,9,
328,63,256,in_progress,2024-09-08 15:44:09.000,24,
329,63,256,completed,2024-10-04 19:36:45.000,25,http://coleman.com/
330,64,41,in_progress,2024-04-08 09:34:03.000,4,
331,64,41,in_progress,2024-05-07 05:34:54.000,6,
332,64,41,in_progress,2024-05-29 16:10:50.000,11,
333,64,41,completed,2024-07-29 20:09:09.000,12,https://www.reese-thomas.org/
334,64,391,in_progress,2024-10-03 05:47:44.000,19,
335,64,391,in_progress,2024-10-03 17:20:01.000,20,
336,64,391,in_progress,2024-10-04 02:31:44.000,21,
337,64,391,in_progress,2024-10-04 14:35:15.000,24,
338,64,391,in_progress,2024-10-05 23:09:11.000,27,
339,64,77,in_progress,2024-04-25 22:52:46.000,13,
340,64,77,in_progress,2024-06-17 13:38:19.000,17,
341,64,77,completed,2024-08-08 06:01:42.000,18,https://hutchinson-krause.info/
342,65,53,in_progress,2024-04-23 01:50:05.000,8,
343,65,53,completed,2024-08-06 15:29:47.000,9,https://www.garcia.com/
344,66,358,in_progress,2023-10-20 03:36:29.000,8,
345,66,358,in_progress,2024-03-06 00:04:30.000,20,
346,66,358,completed,2024-03-09 06:56:36.000,21,http://howard.org/
347,66,183,in_progress,2024-09-22 03:31:26.000,4,
348,66,183,in_progress,2024-10-07 01:27:30.000,5,
349,66,183,in_progress,2024-10-07 08:24:51.000,10,
350,66,183,completed,2024-10-07 08:45:10.000,11,http://www.little.info/
351,68,165,completed,2024-09-23 06:19:22.000,5,https://nguyen-brooks.com/
352,69,204,completed,2024-10-02 19:17:55.000,28,https://scott-blackwell.com/
353,69,387,in_progress,2024-09-12 05:25:56.000,1,
354,69,387,in_progress,2024-09-15 19:18:45.000,2,
355,69,387,in_progress,2024-09-28 01:10:46.000,3,
356,69,387,in_progress,2024-10-03 03:37:04.000,5,
357,69,387,in_progress,2024-10-03 23:38:04.000,6,
358,71,18,in_progress,2023-12-07 10:42:45.000,22,
359,71,18,in_progress,2024-03-14 10:30:42.000,23,
360,71,18,in_progress,2024-07-18 14:40:07.000,28,
361,71,18,completed,2024-08-11 11:27:12.000,30,http://www.gilmore.info/
362,71,271,in_progress,2024-03-26 05:05:37.000,7,
363,71,271,in_progress,2024-09-09 12:00:17.000,10,
364,71,271,in_progress,2024-09-21 11:54:52.000,11,
365,71,271,completed,2024-09-27 07:24:46.000,12,https://www.miller.info/
366,72,273,completed,2024-04-10 06:45:52.000,20,http://www.boyle.com/
367,73,177,completed,2024-05-03 17:58:38.000,11,https://www.long.org/
368,73,68,in_progress,2024-05-06 07:52:12.000,6,
369,73,68,in_progress,2024-08-21 16:09:42.000,16,
370,73,68,completed,2024-08-22 18:59:05.000,20,https://www.king.biz/
371,74,216,completed,2024-08-07 13:43:58.000,7,http://smith-moyer.com/
372,75,315,in_progress,2024-07-29 19:32:38.000,2,
373,75,315,in_progress,2024-08-02 00:14:45.000,5,
374,75,315,in_progress,2024-09-06 18:38:53.000,6,
375,75,315,completed,2024-09-15 13:06:05.000,7,http://www.alvarez.info/
376,75,339,in_progress,2024-06-17 22:05:05.000,0,
377,75,339,in_progress,2024-08-22 07:31:25.000,3,
378,75,339,in_progress,2024-09-23 11:31:29.000,23,
379,75,339,in_progress,2024-10-05 06:58:54.000,24,
380,75,339,completed,2024-10-05 07:43:22.000,25,https://www.smith.com/
381,76,307,in_progress,2024-08-05 21:08:21.000,13,
382,76,307,in_progress,2024-10-04 11:23:55.000,21,
383,76,307,completed,2024-10-06 22:01:46.000,22,https://www.stone.com/
384,76,41,in_progress,2024-09-01 21:53:39.000,10,
385,76,41,in_progress,2024-10-06 13:12:38.000,11,
386,76,41,completed,2024-10-06 22:23:17.000,12,https://www.hall-rocha.org/
387,77,238,in_progress,2024-03-04 04:11:09.000,12,
388,77,238,in_progress,2024-08-30 13:56:52.000,14,
389,77,238,completed,2024-09-27 17:34:45.000,15,https://scott-garcia.com/
390,78,115,in_progress,2024-10-03 03:38:40.000,21,
391,78,115,in_progress,2024-10-04 14:11:18.000,22,
392,78,115,completed,2024-10-04 19:24:07.000,26,http://www.lewis.biz/
393,79,251,in_progress,2023-06-05 19:37:12.000,6,
394,79,251,in_progress,2023-10-28 02:28:46.000,9,
395,79,251,in_progress,2023-10-29 18:11:58.000,13,
396,79,251,completed,2024-06-09 10:40:05.000,15,https://www.smith.com/
397,79,23,in_progress,2023-12-09 12:47:12.000,2,
398,79,23,in_progress,2024-09-02 10:54:55.000,10,
399,79,23,in_progress,2024-09-11 08:51:54.000,11,
400,79,23,completed,2024-10-04 10:01:56.000,12,http://smith.biz/
401,79,166,in_progress,2024-08-04 03:14:10.000,10,
402,79,166,in_progress,2024-08-15 19:26:15.000,12,
403,79,166,in_progress,2024-08-31 21:30:35.000,14,
404,79,166,completed,2024-09-11 08:10:09.000,15,http://lee-garcia.info/
405,80,205,in_progress,2024-07-25 13:56:04.000,3,
406,80,205,in_progress,2024-08-08 21:29:06.000,15,
407,80,205,in_progress,2024-10-02 15:40:24.000,19,
408,80,205,in_progress,2024-10-02 23:56:43.000,20,
409,80,205,in_progress,2024-10-07 04:40:28.000,25,
410,80,278,in_progress,2024-08-16 18:59:29.000,2,
411,80,278,in_progress,2024-09-04 02:23:45.000,13,
412,80,278,completed,2024-09-10 00:47:37.000,26,https://www.neal.com/
413,82,225,in_progress,2024-08-06 21:46:08.000,15,
414,82,225,completed,2024-08-24 04:14:35.000,27,http://www.gallegos-ford.net/
415,83,286,in_progress,2023-12-25 16:22:53.000,7,
416,83,286,completed,2024-02-22 18:48:35.000,9,https://www.browning.com/
417,84,94,in_progress,2024-09-22 18:32:22.000,1,
418,84,94,in_progress,2024-09-23 18:24:26.000,5,
419,84,94,completed,2024-09-24 13:37:25.000,6,https://wright.com/
420,84,51,in_progress,2024-09-17 02:38:52.000,18,
421,84,51,in_progress,2024-09-22 11:31:03.000,25,
422,84,51,in_progress,2024-09-23 01:06:16.000,27,
423,84,51,in_progress,2024-10-04 23:43:14.000,28,
424,84,51,completed,2024-10-07 04:43:16.000,29,http://espinoza-king.info/
425,85,196,in_progress,2023-10-09 01:13:38.000,7,
426,85,196,in_progress,2024-05-30 17:19:22.000,17,
427,85,196,in_progress,2024-06-25 06:30:28.000,20,
428,85,196,completed,2024-07-09 04:14:49.000,21,https://evans.org/
429,85,40,in_progress,2024-09-24 04:54:02.000,11,
430,85,40,in_progress,2024-10-01 18:35:47.000,16,
431,85,40,completed,2024-10-04 02:09:30.000,17,http://jones.org/
432,85,17,in_progress,2023-06-25 03:00:25.000,6,
433,85,17,in_progress,2024-08-12 13:26:42.000,8,
434,85,17,in_progress,2024-09-13 04:07:52.000,9,
435,85,17,in_progress,2024-09-25 22:11:40.000,13,
436,85,17,completed,2024-09-28 22:34:30.000,14,https://www.lester-grant.com/
437,88,233,in_progress,2024-06-05 17:01:15.000,3,
438,88,233,in_progress,2024-06-26 09:36:30.000,12,
439,88,233,in_progress,2024-07-28 21:53:34.000,13,
440,88,233,in_progress,2024-08-02 18:36:25.000,18,
441,88,233,completed,2024-10-02 09:48:37.000,19,https://castro.net/
442,88,67,in_progress,2024-08-10 01:43:59.000,27,
443,88,67,in_progress,2024-09-28 09:26:21.000,28,
444,88,67,completed,2024-09-30 16:23:35.000,29,https://www.johnson.com/
445,88,112,in_progress,2024-09-06 08:24:53.000,2,
446,88,112,in_progress,2024-10-03 21:16:50.000,21,
447,88,112,completed,2024-10-05 11:48:13.000,22,http://www.griffin-meyers.net/
448,89,288,in_progress,2024-09-11 15:33:25.000,10,
